Syntax version=4
Wed Jul 04 03:45:08 2018
Starting process (3312812 clocks per sec)

LogRawData=false
VarHeader=1
D:		ADC_Value	LoadDataAcquired	iServoLoadRate	iAccSpd	isotonicLoad	Kd_term	Ki_term	Kp_term	control	lServoPulseAddCnt	iCurTonicSpd	lTotalPositionCount	!LoadDataAcquired_10!	!isotonicLoad_100!
D:	time(ms)	(0x20001220,2)	(0x20001148,4)	(0x20001296,3)	(0x200011a8,5)	(0x2000126a,3)	(0x200010e8,7)	(0x200010e0,7)	(0x200010d8,7)	(0x200010f0,7)	(0x200011b4,5)	(0x200011f0,5)	(0x200011ac,5)	!LoadDataAcquired/100!	!isotonicLoad/100!
D:	498.47	1758	8802	12	390	9300	0.000000	-141.455500	-249.000000	-390.455500	0	-390	-124939	88.02	93.0
D:	503.85	1723	8802	13	390	9300	-0.000000	-141.580500	-250.000000	-391.580500	0	-390	-124939	88.02	93.0
D:	509.36	1775	8800	13	391	9300	-0.000000	-141.705750	-250.500000	-392.205750	0	-391	-124939	88.0	93.0
D:	515.10	1744	8800	13	392	9300	0.000000	-141.830750	-250.000000	-391.830750	0	-392	-124939	88.0	93.0
D:	520.50	2032	8799	13	391	9300	-0.000000	-141.956000	-250.500000	-392.456000	0	-391	-124939	87.99	93.0
D:	525.85	1758	8799	13	392	9300	0.000000	-142.081250	-250.500000	-392.581250	0	-392	-124939	87.99	93.0
D:	531.26	1720	8799	13	392	9300	0.000000	-142.206500	-250.500000	-392.706500	0	-392	-124939	87.99	93.0
D:	536.60	1736	8797	13	392	9300	-0.000000	-142.332250	-251.500000	-393.832250	0	-393	-124939	87.97	93.0
D:	541.99	1546	8797	13	393	9300	0.000000	-142.458000	-251.500000	-393.958000	0	-393	-124939	87.97	93.0
D:	547.36	1736	8795	13	395	9300	-0.000000	-142.584250	-252.500000	-395.084250	0	-395	-124939	87.95	93.0
D:	552.72	1722	8794	14	395	9300	-0.000000	-142.710750	-253.000000	-395.710750	0	-395	-124939	87.94	93.0
D:	558.11	1544	8794	14	395	9300	0.000000	-142.837250	-253.000000	-395.963750	0	-395	-124939	87.94	93.0
D:	563.47	1754	8794	14	395	9300	0.000000	-143.090000	-252.500000	-395.590000	0	-395	-124939	87.94	93.0
D:	568.84	1545	8795	14	395	9300	-0.000000	-143.216500	-253.000000	-396.216500	0	-395	-124939	87.95	93.0
D:	574.22	1736	8794	14	396	9300	0.000000	-143.343000	-253.000000	-396.343000	0	-396	-124939	87.94	93.0
D:	579.59	2013	8794	14	396	9300	0.000000	-143.469500	-253.000000	-396.469500	0	-396	-124939	87.94	93.0
D:	584.97	1764	8794	14	396	9300	0.000000	-143.596000	-253.000000	-396.596000	0	-396	-124939	87.94	93.0
D:	590.35	1758	8794	14	396	9300	0.000000	-143.722500	-253.000000	-396.722500	0	-396	-124939	87.94	93.0
D:	595.87	1737	8794	14	396	9300	-0.000000	-143.849250	-253.500000	-397.349250	0	-396	-124939	87.94	93.0
D:	601.47	1726	8794	14	397	9300	0.000000	-143.975750	-253.000000	-396.975750	0	-397	-124939	87.94	93.0
D:	606.85	1735	8794	15	396	9300	-0.000000	-144.102500	-253.500000	-397.602500	0	-397	-124939	87.94	93.0
D:	612.22	1785	8792	15	397	9300	0.000000	-144.229250	-253.500000	-397.729250	0	-397	-124939	87.92	93.0
D:	617.59	2034	8793	15	397	9300	0.000000	-144.356000	-253.500000	-397.856000	0	-397	-124939	87.93	93.0
D:	622.97	1757	8792	15	398	9300	-0.000000	-144.483000	-254.000000	-398.483000	0	-398	-124939	87.92	93.0
D:	628.34	1749	8792	15	398	9300	0.000000	-144.737000	-254.000000	-398.737000	0	-398	-124939	87.92	93.0
D:	633.85	1758	8792	15	398	9300	0.000000	-144.864000	-254.000000	-398.864000	0	-398	-124939	87.92	93.0
D:	639.22	1786	8791	15	398	9300	-0.000000	-144.991250	-254.500000	-399.491250	0	-398	-124939	87.91	93.0
D:	644.61	1756	8791	15	399	9300	0.000000	-145.118500	-254.500000	-399.618500	0	-399	-124939	87.91	93.0
D:	649.98	1545	8791	15	399	9300	0.000000	-145.245750	-254.500000	-399.745750	0	-399	-124939	87.91	93.0
D:	655.34	1756	8790	15	399	9300	-0.000000	-145.373250	-255.000000	-400.373250	0	-399	-124939	87.9	93.0
D:	660.72	1801	8789	15	400	9300	-0.000000	-145.501250	-256.000000	-401.501250	0	-400	-124939	87.89	93.0
D:	666.13	1542	8788	15	401	9300	0.000000	-145.629250	-256.000000	-401.629250	0	-401	-124939	87.88	93.0
D:	671.50	1753	8787	15	401	9300	-0.000000	-145.757500	-256.500000	-402.257500	0	-401	-124939	87.87	93.0
D:	676.85	1808	8787	16	402	9300	0.000000	-145.885750	-256.500000	-402.385750	0	-402	-124939	87.87	93.0
D:	682.22	1539	8787	16	0	9300	0.000000	-146.013750	-256.000000	-402.013750	0	-402	-124939	87.87	93.0
D:	687.59	1752	8786	16	403	9300	-0.000000	-146.142250	-257.000000	-403.142250	0	-403	-124939	87.86	93.0
D:	692.97	1715	8786	16	403	9300	0.000000	-146.270750	-257.000000	-403.270750	0	-403	-124939	87.86	93.0
D:	698.34	1758	8788	16	402	9300	-0.000000	-146.527000	-256.500000	-403.027000	0	-402	-124939	87.88	93.0
D:	703.72	2026	8787	16	403	9300	0.000000	-146.655000	-256.000000	-402.655000	0	-403	-124939	87.87	93.0
D:	709.09	2022	8788	16	402	9300	0.000000	-146.783000	-256.000000	-402.783000	0	-402	-124939	87.88	93.0
D:	714.75	8916	8788	16	402	9300	0.000000	-146.911000	-256.000000	-402.911000	0	-402	-124939	87.88	93.0
D:	720.26	1726	8788	16	402	9300	0.000000	-147.039000	-256.000000	-403.039000	0	-402	-124939	87.88	93.0
D:	725.59	1552	8788	16	403	9300	0.000000	-147.166750	-255.500000	-402.666750	0	-403	-124939	87.88	93.0
D:	730.97	8651	8788	17	402	9300	-0.000000	-147.294750	-256.000000	-403.294750	0	-402	-124939	87.88	93.0
D:	736.35	1770	8787	17	403	9300	-0.000000	-147.423000	-256.500000	-403.923000	0	-403	-124939	87.87	93.0
D:	741.85	1776	8787	17	403	9300	0.000000	-147.551250	-256.500000	-404.051250	0	-404	-124939	87.87	93.0
D:	747.22	1720	8787	17	404	9300	0.000000	-147.679500	-256.500000	-404.179500	0	-404	-124939	87.87	93.0
D:	752.59	8618	8787	17	404	9300	0.000000	-147.807750	-256.500000	-404.307750	0	-404	-124939	87.87	93.0
D:	757.97	1723	8787	17	404	9300	0.000000	-147.936000	-256.500000	-404.436000	0	-404	-124939	87.87	93.0
D:	763.35	1768	8788	17	404	9300	0.000000	-148.191686	-256.000000	-403.691750	0	-404	-124939	87.88	93.0
D:	768.72	1744	8789	17	403	9300	0.000000	-148.319500	-255.500000	-403.819500	0	-403	-124939	87.89	93.0
D:	774.09	1723	8789	17	403	9300	0.000000	-148.447250	-255.500000	-403.947250	0	-403	-124939	87.89	93.0
D:	779.46	1780	8789	17	403	9300	0.000000	-148.575000	-255.500000	-404.075000	0	-403	-124939	87.89	93.0
D:	784.84	1768	8789	17	404	9300	0.000000	-148.702750	-255.500000	-404.202750	0	-404	-124939	87.89	93.0
D:	790.21	1722	8788	17	404	9300	-0.000000	-148.830750	-256.000000	-404.830750	0	-404	-124939	87.88	93.0
D:	795.59	1538	8788	17	404	9300	0.000000	-148.958500	-255.500000	-404.458500	0	-404	-124939	87.88	93.0
D:	800.99	1987	8789	18	404	9300	0.000000	-149.086250	-255.500000	-404.586250	0	-404	-124939	87.89	93.0
D:	806.34	1729	8789	18	404	9300	0.000000	-149.214000	-255.500000	-404.714000	0	-404	-124939	87.89	93.0
D:	811.71	1724	8789	18	404	9300	0.000000	-149.341750	-255.500000	-404.841750	0	-404	-124939	87.89	93.0
D:	817.09	1983	8789	18	404	9300	0.000000	-149.469500	-255.500000	-404.969500	0	-404	-124939	87.89	93.0
D:	822.47	1980	8790	18	404	9300	0.000000	-149.597000	-255.000000	-404.597000	0	-404	-124939	87.9	93.0
